Date : 2023-09-09 17:23:28
Directory : c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop
Total : 115 files,  5859 codes, 310 comments, 661 blanks, all 6830 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         70 |      4,344 |         59 |        388 |      4,791 |
| C++        |         16 |        513 |        107 |        170 |        790 |
| XML        |         10 |        482 |         51 |         13 |        546 |
| JSON       |          5 |        249 |          0 |          4 |        253 |
| Groovy     |          3 |         90 |          5 |         22 |        117 |
| YAML       |          2 |         77 |         69 |         35 |        181 |
| Swift      |          4 |         46 |          3 |         12 |         61 |
| HTML       |          1 |         37 |         16 |          6 |         59 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Properties |          2 |          8 |          0 |          2 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                         | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                            |        115 |      5,859 |        310 |        661 |      6,830 |
| . (Files)                                                                                                                    |          3 |         87 |         69 |         42 |        198 |
| android                                                                                                                      |         12 |        176 |         54 |         34 |        264 |
| android (Files)                                                                                                              |          3 |         38 |          0 |         10 |         48 |
| android\app                                                                                                                  |          8 |        133 |         54 |         23 |        210 |
| android\app (Files)                                                                                                          |          1 |         55 |          5 |         13 |         73 |
| android\app\src                                                                                                              |          7 |         78 |         49 |         10 |        137 |
| android\app\src\debug                                                                                                        |          1 |          4 |          4 |          1 |          9 |
| android\app\src\main                                                                                                         |          5 |         70 |         41 |          8 |        119 |
| android\app\src\main (Files)                                                                                                 |          1 |         44 |          9 |          2 |         55 |
| android\app\src\main\res                                                                                                     |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                                            |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                                        |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                                              |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                                        |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                                      |          1 |          4 |          4 |          1 |          9 |
| android\gradle                                                                                                               |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                                       |          1 |          5 |          0 |          1 |          6 |
| assets                                                                                                                       |          1 |          1 |          0 |          0 |          1 |
| ios                                                                                                                          |          7 |        222 |          2 |          9 |        233 |
| ios\Runner                                                                                                                   |          7 |        222 |          2 |          9 |        233 |
| ios\Runner (Files)                                                                                                           |          2 |         13 |          0 |          3 |         16 |
| ios\Runner\Assets.xcassets                                                                                                   |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                                |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                              |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                                        |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                          |         69 |      4,330 |         49 |        381 |      4,760 |
| lib (Files)                                                                                                                  |          1 |        221 |          1 |         14 |        236 |
| lib\bloc                                                                                                                     |         21 |        272 |          0 |         76 |        348 |
| lib\bloc\authentication                                                                                                      |          3 |         29 |          0 |          9 |         38 |
| lib\bloc\basket                                                                                                              |          3 |         26 |          0 |          8 |         34 |
| lib\bloc\category                                                                                                            |          3 |         26 |          0 |          9 |         35 |
| lib\bloc\categoryProduct                                                                                                     |          3 |         31 |          0 |          9 |         40 |
| lib\bloc\comment                                                                                                             |          3 |         41 |          0 |         14 |         55 |
| lib\bloc\home                                                                                                                |          3 |         49 |          0 |         11 |         60 |
| lib\bloc\product                                                                                                             |          3 |         70 |          0 |         16 |         86 |
| lib\constants                                                                                                                |          1 |          9 |          0 |          2 |         11 |
| lib\data                                                                                                                     |         27 |        938 |          5 |        128 |      1,071 |
| lib\data\datasource                                                                                                          |          8 |        380 |          0 |         44 |        424 |
| lib\data\model                                                                                                               |         11 |        266 |          5 |         43 |        314 |
| lib\data\repository                                                                                                          |          8 |        292 |          0 |         41 |        333 |
| lib\di                                                                                                                       |          1 |         50 |          4 |         20 |         74 |
| lib\screens                                                                                                                  |         10 |      2,518 |         30 |        113 |      2,661 |
| lib\util                                                                                                                     |          4 |         43 |          0 |         10 |         53 |
| lib\util (Files)                                                                                                             |          2 |         27 |          0 |          6 |         33 |
| lib\util\extentions                                                                                                          |          2 |         16 |          0 |          4 |         20 |
| lib\widgets                                                                                                                  |          4 |        279 |          9 |         18 |        306 |
| linux                                                                                                                        |          5 |        102 |         27 |         38 |        167 |
| linux (Files)                                                                                                                |          3 |         86 |         18 |         27 |        131 |
| linux\flutter                                                                                                                |          2 |         16 |          9 |         11 |         36 |
| macos                                                                                                                        |          5 |        445 |          3 |         12 |        460 |
| macos\Flutter                                                                                                                |          1 |         14 |          3 |          4 |         21 |
| macos\Runner                                                                                                                 |          4 |        431 |          0 |          8 |        439 |
| macos\Runner (Files)                                                                                                         |          2 |         20 |          0 |          6 |         26 |
| macos\Runner\Assets.xcassets                                                                                                 |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                                              |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                                                      |          1 |        343 |          0 |          1 |        344 |
| test                                                                                                                         |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                                          |          2 |         72 |         16 |          7 |         95 |
| windows                                                                                                                      |         10 |        410 |         80 |        131 |        621 |
| windows\flutter                                                                                                              |          2 |         14 |          9 |         11 |         34 |
| windows\runner                                                                                                               |          8 |        396 |         71 |        120 |        587 |
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                     | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\README.md                                                     | Markdown   |         10 |          0 |          7 |         17 |
